time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1671352868.23723745,0.00473990,0.00014558,0.00000324,12681.00000000,0.00247662,0.000000,0.000000
1671352868.33821321,0.00473294,0.00019169,0.00000278,12690.00000000,0.00205988,0.000000,0.000000
1671352868.43895912,0.00472512,0.00015561,0.00000265,12689.00000000,0.00171612,0.000000,0.000000
1671352868.53983068,0.00471848,0.00016525,0.00000270,12700.00000000,0.00215420,0.000000,0.000000
1671352868.64067864,0.00471173,0.00018659,0.00000267,12711.00000000,0.00209841,0.000000,0.000000
1671352868.74153900,0.00470683,0.00024161,0.00000404,12725.00000000,0.00280766,0.000000,0.000000
1671352868.84246492,0.00470027,0.00017205,0.00000282,12732.00000000,0.00214710,0.000000,0.000000
1671352868.94381642,0.00469563,0.00022577,0.00000404,12745.00000000,0.00288703,0.000000,0.000000
1671352869.04410911,0.00468859,0.00013946,0.00000272,12734.00000000,0.00193528,0.000000,0.000000
1671352869.14499140,0.00468133,0.00017893,0.00000282,12739.00000000,0.00183535,0.000000,0.000000
1671352869.24586344,0.00467383,0.00014816,0.00000272,12732.00000000,0.00172574,0.000000,0.000000
1671352869.34670281,0.00466829,0.00015577,0.00000340,12737.00000000,0.00248841,0.000000,0.000000
1671352869.44755983,0.00466111,0.00017958,0.00000270,12740.00000000,0.00182306,0.000000,0.000000
1671352869.54842329,0.00465608,0.00020325,0.00000323,12757.00000000,0.00266395,0.000000,0.000000
1671352869.64928269,0.00465152,0.00023418,0.00000343,12761.00000000,0.00284074,0.000000,0.000000
1671352869.75016832,0.00464583,0.00020415,0.00000306,12790.00000000,0.00238260,0.000000,0.000000
1671352869.85099816,0.00463986,0.00018067,0.00000294,12796.00000000,0.00225641,0.000000,0.000000
1671352869.95187712,0.00463583,0.00033393,0.00000371,12807.00000000,0.00302398,0.000000,0.000000
1671352870.05270982,0.00463151,0.00027742,0.00000369,12827.00000000,0.00290160,0.000000,0.000000
1671352870.15360069,0.00462555,0.00019915,0.00000301,12848.00000000,0.00222724,0.000000,0.000000
1671352870.25442863,0.00461899,0.00015820,0.00000287,12867.00000000,0.00197481,0.000000,0.000000
1671352870.35531306,0.00461286,0.00012450,0.00000373,12885.00000000,0.00213936,0.000000,0.000000
1671352870.45615721,0.00460718,0.00021396,0.00000352,12892.00000000,0.00230472,0.000000,0.000000
1671352870.55701923,0.00460138,0.00016385,0.00000349,12893.00000000,0.00224765,0.000000,0.000000
1671352870.65787172,0.00459628,0.00029943,0.00000341,12901.00000000,0.00252168,0.000000,0.000000
1671352870.75873661,0.00459013,0.00017865,0.00000295,12905.00000000,0.00207777,0.000000,0.000000
1671352870.85959840,0.00458346,0.00013890,0.00000284,12913.00000000,0.00185527,0.000000,0.000000
